year,statefip,state,abbrev,ins_public,ins_private,median_hhincome,race_white_wra_esi,race_black_wra_esi,race_asian_wra_esi,race_hispanic_wra_esi,supply_pct_wra_no_maternity_hosp,supply_prim_care_per_10k,supply_obgyn_per_10k,supply_rhc_fqhc_per_100k,male_vasectomy,otc,extended_supply,pharmacy_access
2014,30,Montana,MT,.32727519,.53464168,46000,.88338941,.0035277812,.0032273384,.039299872,.23532136,7.6203203,.82064992,10.844302,0,0,0,0
2014,31,Nebraska,NE,.27564347,.63069791,53600,.83267516,.037468817,.035106353,.068454087,.20759733,7.4993238,1.1373886,8.5038395,0,0,0,0
2014,32,Nevada,NV,.30688855,.53734338,50800,.47879675,.075282201,.11165111,.28834584,.049744811,5.7166023,.85590535,1.514565,0,0,0,0
2014,33,New Hampshire,NH,.27184087,.63444132,67000,.91719466,.0072586061,.033583462,.026009519,.088595174,9.4210711,1.3038763,3.1654799,0,0,0,0
2014,34,New Jersey,NJ,.29151487,.59659559,71400,.57707357,.11672599,.13128799,.15300111,.046374865,8.536418,1.4756927,1.0292929,0,0,0,0
2014,35,New Mexico,NM,.42523825,.42276412,45000,.39347351,.020653442,.023460045,.48899993,.21564968,7.5998335,1.0500716,5.8976626,0,0,0,0
2014,36,New York,NY,.37140882,.54170787,58600,.60748267,.13601768,.087695219,.14278136,.048196863,8.3428593,1.6362619,1.3724141,0,0,0,0
2014,37,North Carolina,NC,.33638215,.53220528,46000,.67044479,.21159227,.037290521,.055830453,.095484175,7.0907335,1.1786045,2.6347642,0,0,0,0
2014,38,North Dakota,ND,.2529203,.66696823,58940,.9071371,.0047125067,.016850781,.030294685,.25684452,7.8162823,.89251667,9.0603962,0,0,0,0
2014,39,Ohio,OH,.3517364,.56109172,48800,.82938349,.087756403,.026987404,.033743724,.1276553,7.6926641,1.150579,2.1131322,0,0,0,0
2014,40,Oklahoma,OK,.33169445,.5124293,48000,.68536443,.070576526,.024301084,.084455319,.19532998,6.4155936,.76584864,3.300627,0,0,0,0
2014,41,Oregon,OR,.38615686,.51309836,50400,.77849263,.010182032,.055772565,.11181204,.039017767,9.3646755,1.2518138,5.0878549,0,0,0,0
